"P11CA43|Non Volatile Memory Double Bit Fault ""A"" System Internal Failures Special memory failure;"
C105B01|Passive Safety CAN  General electrical failure;
C105B88|Passive Safety CAN Bus Signal / Message Failures Bus off;
U100245|Data Integrity fault in NVM System Internal Failures Program memory failure;
"U102268|ECU Quiescent Current Too High, No Network Communication Requested  Algorithm Based Failures Event information;"
U103600|Lost UDP Communication with IHU  ;
U104549|Safety Hardware   System Internal Failures Internal electronic failure;
U104604|Built In Self Test    System Internal Failures;
U104704|Safety Processor    System Internal Failures;
U106B86|Incompatible IP bus signal received from IHU Bus Signal / Message Failures Signal invalid;
U10A504|Internal Sensor    System Internal Failures;
U10AB86|Incompatible IP Bus Signal Received From VGM Bus Signal / Message Failures Signal invalid;
U10B000|VGM Not Connected On Ethernet  ;
U110700|Interrupted Communication with Forward Looking Radar (FLR)  ;
U110E00|Interrupted Communication with Supplementary Restraint System (SRS)  ;
U111300|Interrupted communication with Power Steering Control Module (PSCM)  ;
U111600|Interrupted Communication with Restraint Module Left (RML)  ;
U111700|Interrupted Communication with Restraint Module Right (RMR)  ;
U111900|Interrupted Communication with Side Obstacle Detection control module Left (SODL)   ;
U111A00|Interrupted Communication with Side Obstacle Detection control Module Right (SODR)  ;
U112400|Interrupted Communication with Vehicle Dynamics Domain Master (VDDM)  ;
U112900|Interrupted Communication with Driver Information Module (DIM)  ;
U112A00|Interrupted Communication with Infotainment Head Unit (IHU)  ;
U112B00|Interrupted Communication with Central Electronic Module (CEM)  ;
U112E00|Interrupted communication with Forward Looking Camera (FLC)  ;
U113A00|Interrupted Communication with Front Side Radar Left (FSRL)  ;
U113B00|Interrupted Communication with Front Side Radar Right (FSRR)  ;
U115300|Interrupted Communication with Driver Monitor Module (DMM)  ;
U116100|Interrupted Communication With Digital Video Recorder (DVR)  ;
U116600|Interrupted Communication With Parking Assist System (PAS)  ;
U122000|FlexRay Cluster startup error  ;
U122901|Common FlexRay electrical fault  General electrical failure;
U144143|Active Safety Domain Master (ASDM) System Internal Failures Special memory failure;
U1C5001|CAN Bus #3  General electrical failure;
U1C5088|CAN Bus #3 Bus Signal / Message Failures Bus off;
U1C7701|CAN FD #1  General electrical failure;
U1C7788|CAN FD #1 Bus Signal / Message Failures Bus off;
U1C7801|CAN FD #2  General electrical failure;
U1C7888|CAN FD #2 Bus Signal / Message Failures Bus off;
U1C7901|CAN FD #3  General electrical failure;
U1C7988|CAN FD #3 Bus Signal / Message Failures Bus off;
U1C7A01|CAN FD #4  General electrical failure;
U1C7A88|CAN FD #4 Bus Signal / Message Failures Bus off;
U210156|Control Module Configuration Incompatible System Programming Failures Invalid / incompatible configuration;
U230055|Central Configuration System Programming Failures Not configured;
U230056|Central Configuration System Programming Failures Invalid / incompatible configuration;
U230057|Central Configuration System Programming Failures Invalid / Incompatible Software Component;
U240048|ECU Software System Internal Failures Supervision software failure;
U240057|ECU Software System Programming Failures Invalid / Incompatible Software Component;
U240082|ECU Software Bus Signal / Message Failures Alive / sequence counter incorrect / not updated;
U240096|ECU Software Component Failures Component internal failure;
U261792|Invalid Data Received in CamFrntFaulty Component Failures Performance or incorrect operation;
U261892|Invalid Data Received in RdrFrntSts/Faulty   Component Failures Performance or incorrect operation;
U261992|Invalid Data Received in FrntSideRdrLeSts/Faulty   Component Failures Performance or incorrect operation;
U261A92|Invalid Data Received in FrntSideRdrRiSts/Faulty   Component Failures Performance or incorrect operation;
U261B92|Invalid Data Received in CamFrntBlkd   Component Failures Performance or incorrect operation;
U261C92|Invalid Data Received in RdrFrntSts/Blkd   Component Failures Performance or incorrect operation;
U261D92|Invalid Data Received in FrntSideRdrLeSts/Blkd   Component Failures Performance or incorrect operation;
U261E92|Invalid Data Received in FrntSideRdrRiSts/Blkd   Component Failures Performance or incorrect operation;
U265483|Invalid Data Recieved in JBkpSig2 Bus Signal / Message Failures Value of signal protection calculation incorrect;
U265583|Invalid Data Recieved in JBkpSig1 Bus Signal / Message Failures Value of signal protection calculation incorrect;
"U265881|Invalid Data Received in WhlVAgrFrntForBkp.WhlVAgrFrntForBkpW
hlVAgrFrntLeQf Bus Signal / Message Failures Invalid serial data received;"
U265992|Invalid Data Received in ADL3LatCtrlStsSts  Component Failures Performance or incorrect operation;
U265A92|Invalid Data Received in ADL3LgtCtrlStsSts  Component Failures Performance or incorrect operation;
U271083|Corrupted Data Received in AccrPedlRat   Bus Signal / Message Failures Value of signal protection calculation incorrect;
U271883|Corrupted Data Recieved in VehMtnSt Bus Signal / Message Failures Value of signal protection calculation incorrect;
U272383|Corrupted Data Recieved in PinionSteerAgGroupForBkp Bus Signal / Message Failures Value of signal protection calculation incorrect;
U272E83|Corrupted Data Recieved in VehSpdLgt Bus Signal / Message Failures Value of signal protection calculation incorrect;
U272F81|Corrupted Data Recieved in VehSpdLgtForBkp Bus Signal / Message Failures Invalid serial data received;
U278D83|Corrupted Data Received In PinionSteerAgGroup Bus Signal / Message Failures Value of signal protection calculation incorrect;
U278E83|Corrupted Data Received In FrntRdrSts  Bus Signal / Message Failures Value of signal protection calculation incorrect;
U278F83|Corrupted Data Received In FrntSideRdrLeSts  Bus Signal / Message Failures Value of signal protection calculation incorrect;
U279083|Corrupted Data Received In FrntSideRdrRiSts  Bus Signal / Message Failures Value of signal protection calculation incorrect;
U279183|Corrupted Data Received In ReSideRdrLeSts  Bus Signal / Message Failures Value of signal protection calculation incorrect;
U279283|Corrupted Data Received In ReSideRdrRiSts  Bus Signal / Message Failures Value of signal protection calculation incorrect;
U279383|Corrupted Data Received In CamSts Bus Signal / Message Failures Value of signal protection calculation incorrect;
U279483|Corrupted Data Received In EyeOnRoad  Bus Signal / Message Failures Value of signal protection calculation incorrect;
U279583|Corrupted Data Received In ADL3LatCtrlSts Bus Signal / Message Failures Value of signal protection calculation incorrect;
U279683|Corrupted Data Received In ADL3LgtCtrlSts Bus Signal / Message Failures Value of signal protection calculation incorrect;
U279783|Corrupted Data Received In DrvrDecelReq Bus Signal / Message Failures Value of signal protection calculation incorrect;
U2C4481|Invalid Data Received in PinionSteerAg1/PinionSteerAg1 Bus Signal / Message Failures Invalid serial data received;
U2C4581|Invalid Data Received in PinionSteerAgSpd1/PinionSteerAgSpd1 Bus Signal / Message Failures Invalid serial data received;
U2C4681|Invalid Data Received in SteerWhlTq/SteerWhlTq Bus Signal / Message Failures Invalid serial data received;
U2C4A81|Invalid Data Received in ADataRawSafe/ALat Bus Signal / Message Failures Invalid serial data received;
U2C4B81|Invalid Data Received in ADataRawSafe/ALgt Bus Signal / Message Failures Invalid serial data received;
U2C4E81|Invalid Data Received in AgDataRawSafe/YawRate Bus Signal / Message Failures Invalid serial data received;
U2C5081|Invalid Data Received in AsyDataWithCmpSafe/ALatWithCmp Bus Signal / Message Failures Invalid serial data received;
U2C5281|Invalid Data Received in AsyDataWithCmpSafe/YawRateWithCmp Bus Signal / Message Failures Invalid serial data received;
U2C5581|Invalid Data Received in ALgtStdFromWhlSpdSafe/ALgtStdFromWhlSpd Bus Signal / Message Failures Invalid serial data received;
U2C5681|Invalid Data Received in BrkPedlPsd/BrkPedlPsd Bus Signal / Message Failures Invalid serial data received;
U2C5881|Invalid Data Received in VehSpdLgtSafe/VehSpdLgt Bus Signal / Message Failures Invalid serial data received;
U2C5A92|Invalid Data Received in SftySigGroupFromHmiSafe/StfyHmiDend Component Failures Performance or incorrect operation;
U2C6292|Invalid Data Received in VehDynCtrlStsForALgtCmft/VehDynCtrlStsDend Component Failures Performance or incorrect operation;
U2C7292|Invalid Data Received in SteerServoSts Component Failures Performance or incorrect operation;
U2C7392|Invalid Data Received in EscSt Component Failures Performance or incorrect operation;
U2C8D92|Invalid Data Received in HznSplyElectcSts Component Failures Performance or incorrect operation;
U2CD981|Invalid Data Received in WhlVAgrFrntLeQf Bus Signal / Message Failures Invalid serial data received;
U2D3483|Corrupted Data Received in BrkPedlPsd Bus Signal / Message Failures Value of signal protection calculation incorrect;
U2D4283|Corrupted Data Received in ADataRawSafe Bus Signal / Message Failures Value of signal protection calculation incorrect;
U2D4383|Corrupted Data Received in AgDataRawSafe Bus Signal / Message Failures Value of signal protection calculation incorrect;
U2D4483|Corrupted Data Received in AsyDataWithCmpSafe Bus Signal / Message Failures Value of signal protection calculation incorrect;
U2D5483|Corrupted Data Received in ALgtStdFromWhlSpdSafe Bus Signal / Message Failures Value of signal protection calculation incorrect;
U2D5A83|Corrupted Data Received in VehModMngtGlbSafe1 Bus Signal / Message Failures Value of signal protection calculation incorrect;
U2D5C83|Corrupted Data Received in EscSt Bus Signal / Message Failures Value of signal protection calculation incorrect;
U2E0368|ECU Supply Voltage Too High  Algorithm Based Failures Event information;
U2E0468|ECU Supply Voltage Too Low Algorithm Based Failures Event information;
U2E0B68|ECU Supply Voltage B Too High Algorithm Based Failures Event information;
U2E0C68|ECU Supply Voltage B Too Low Algorithm Based Failures Event information;
U2F0100|ASDM-PHY1 SQI  value to low  ;
U2F6900|TLF_PreReg_UV fault  ;
U300362|Supply Voltage Algorithm Based Failures Signal compare failure;
